鲁能星城十一街区 , | 2室2厅 | 84平米 | 南 | 精装 | 有电梯,龙头寺,138万
万友七季城C区 , | 2室2厅 | 77平米 | 西 | 精装 | 有电梯,六公里,106万
恒大山水城 , | 2室2厅 | 82.25平米 | 东 | 精装 | 有电梯,照母山,120万
恒大山水城 , | 1室1厅 | 58平米 | 东 | 精装 | 有电梯,照母山,88万
鲁能星城十二街区 , | 3室2厅 | 98平米 | 南 | 精装 | 有电梯,龙头寺,165万
橄榄郡 , | 2室2厅 | 82.68平米 | 西 | 精装 | 有电梯,冉家坝,118万
星韵满庭 , | 3室2厅 | 118.03平米 | 东南 | 毛坯 | 有电梯,东部新城,69.8万
金科中央公园城（江津） , | 3室2厅 | 122平米 | 东 | 毛坯 | 有电梯,滨江新城,100万
金科廊桥水乡四组团 , | 3室2厅 | 102平米 | 南 | 毛坯 | 有电梯,大学城,97万
两代一家 , | 1室1厅 | 41.5平米 | 东 | 精装 | 有电梯,嘉州,72万
金科世界城(江津) , | 3室1厅 | 102平米 | 南 | 精装,西段,68万
阳光九里 , | 2室2厅 | 84.5平米 | 东南 | 精装,李家沱,73万
鲁能星城九街区 , | 3室2厅 | 83.96平米 | 南 北 | 简装 | 有电梯,龙头寺,153万
金辉城花样派 , | 3室2厅 | 108平米 | 西南 | 精装 | 有电梯,融侨半岛,183万
复地城就 , | 3室2厅 | 119平米 | 南 | 精装 | 有电梯,鸳鸯,165万
保利花半里百合园 , | 3室2厅 | 98.62平米 | 东南 | 精装 | 有电梯,杨家坪,175万
光华可乐小镇A区 , | 2室2厅 | 76.18平米 | 南 | 精装 | 有电梯,南桥寺,112万
朗苑 , | 3室2厅 | 110平米 | 东 | 精装 | 有电梯,祥瑞片区,82万
金科廊桥天都 , | 3室2厅 | 89.79平米 | 南 | 精装 | 有电梯,大学城,96万
诚投天邻风景 , | 3室2厅 | 110平米 | 东 | 精装 | 有电梯,石子山,140万
蔚蓝时光 , | 2室2厅 | 81.4平米 | 东南 | 精装 | 有电梯,八公里,90万
悠哉悠宅 , | 2室2厅 | 74.99平米 | 北 | 精装,南桥寺,106万
鲁能城中央公馆二期 , | 3室2厅 | 82.47平米 | 东南 | 毛坯 | 有电梯,中央公园,118万
首地江山赋 , | 3室2厅 | 96.7平米 | 南 | 毛坯 | 有电梯,悦来,118万
首地江山赋 , | 3室2厅 | 92平米 | 东 | 毛坯 | 有电梯,悦来,105万
长安锦绣城 , | 3室2厅 | 136平米 | 北 | 毛坯 | 有电梯,龙溪,215万
光华阳光水城一期 , | 5室2厅 | 200.22平米 | 南 | 精装 | 有电梯,杨公桥,210万
保利观澜 , | 2室1厅 | 71.63平米 | 东南 | 精装 | 有电梯,海尔路,150万
保利花半里百合园 , | 2室2厅 | 81.77平米 | 西北 | 精装 | 有电梯,杨家坪,142万
万科金色悦城 , | 3室2厅 | 103平米 | 南 | 精装 | 有电梯,凤天路,160万
迷你星座 , | 3室2厅 | 83平米 | 东 | 简装 | 有电梯,老城区,54万
金科阳光小镇二期 , | 3室2厅 | 120平米 | 南 | 毛坯 | 有电梯,华岩,125万
金科十年城北区 , | 2室2厅 | 76平米 | 东 | 精装 | 有电梯,石马河,128万
奥园康城B区 , | 3室2厅 | 106.6平米 | 西 | 精装 | 有电梯,谢家湾,129万
建工依山郡 , | 2室2厅 | 81.65平米 | 东 北 | 毛坯 | 有电梯,照母山,120万
龙湖两江新宸云澜 , | 3室2厅 | 114平米 | 南 北 | 毛坯 | 有电梯,礼嘉,180万
兰波红城丽景 , | 3室2厅 | 86.71平米 | 西南 | 精装 | 有电梯,大坪,130万
爱加西西里 , | 3室2厅 | 128.66平米 | 东南 | 简装 | 有电梯,汽博中心,185万
上东汇北区一组团 , | 4室2厅 | 144平米 | 南 | 毛坯,中央公园,256万
天骄名城二期 , | 2室2厅 | 64.03平米 | 南 | 简装 | 有电梯,大学城,68万
凤凰湾驭峰 , | 3室2厅 | 80平米 | 西南 | 精装 | 有电梯,石马河,125万
国奥村时光漫 , | 3室2厅 | 89.34平米 | 东北 | 毛坯,石马河,128万
云鼎阳光 , | 2室1厅 | 61平米 | 东 | 精装 | 有电梯,东门,45.8万
丽都锦城 , | 2室1厅 | 85平米 | 东北 | 精装 | 有电梯,八公里,95万
华宇春江花月 , | 1室1厅 | 44平米 | 东南 | 精装 | 有电梯,谢家湾,73万
江岸丽水 , | 3室2厅 | 143平米 | 东南 | 精装,西段,72万
奥园康城C区 , | 2室1厅 | 44.36平米 | 南 | 精装 | 有电梯,谢家湾,68万
康利尔风花树 , | 2室2厅 | 71平米 | 东南 | 精装 | 有电梯,龙洲湾,78万
袁家小苑 , | 2室2厅 | 73.36平米 | 南 | 精装 | 有电梯,袁家岗,93万
融创凡尔赛领馆二期 , | 2室1厅 | 73平米 | 东南 | 简装 | 有电梯,照母山,116万
东原星樾 , | 2室1厅 | 56平米 | 西北 | 毛坯 | 有电梯,照母山,90万
万达华城三期 , | 4室2厅 | 128平米 | 东南 | 毛坯 | 有电梯,龙洲湾,132万
万科西九 , | 2室2厅 | 68平米 | 西南 | 毛坯 | 有电梯,石坪桥,108万
财信城市国际 , | 2室1厅 | 63平米 | 南 | 精装 | 有电梯,嘉州,120万
龙湖春森彼岸 , | 5室1厅 | 178平米 | 南 | 毛坯 | 有电梯,北滨路,318万
保利江上明珠畅园 , | 3室2厅 | 101.8平米 | 东南 | 毛坯 | 有电梯,鸿恩寺,152万
恒大华府 , | 2室2厅 | 90.98平米 | 东 | 精装 | 有电梯,人和,152万
长安锦绣城 , | 3室2厅 | 117.2平米 | 东 | 精装 | 有电梯,龙溪,189万
金茂国际生态新城 , | 3室2厅 | 87.02平米 | 西 | 毛坯 | 有电梯,中央公园,130万
复地新城就 , | 3室2厅 | 96平米 | 东北 | 精装 | 有电梯,鸳鸯,160万
东原九城时光 , | 3室2厅 | 95平米 | 东北 | 毛坯 | 有电梯,杨家坪,149万
融景城朗峰 , | 2室2厅 | 81.96平米 | 北 | 毛坯 | 有电梯,五里店,145万
南方新城东苑 , | 3室2厅 | 106.19平米 | 东 | 精装 | 无电梯,石桥铺,125万
晋愉盛世融城 , | 3室2厅 | 131平米 | 南 | 精装 | 有电梯,巴国城,154万
联发嘉园 , | 3室2厅 | 108平米 | 东南 南 | 毛坯 | 有电梯,杨家坪,150万
融汇江山D区 , | 3室2厅 | 102平米 | 东北 | 精装 | 有电梯,融汇半岛,122万
万科悦湾南区 , | 4室2厅 | 163.99平米 | 南 | 毛坯 | 有电梯,石马河,248万
北城国际中心 , | 2室1厅 | 87.67平米 | 南 | 精装 | 有电梯,龙溪,130万
上东汇南区一组团 , | 3室2厅 | 90.89平米 | 东 | 简装,中央公园,145万
建工锦绣华城 , | 2室2厅 | 80.12平米 | 东南 | 毛坯,汽博中心,102万
中国核建紫金一品 , | 2室2厅 | 76平米 | 东南 | 简装 | 有电梯,弹子石,123万
华夏银座 , | 1室1厅 | 73.06平米 | 东南 | 简装,三峡广场,108万
富力城时光里 , | 2室2厅 | 89.5平米 | 南 | 精装 | 有电梯,大学城,90万
睿尚MOHO , | 3室2厅 | 86.72平米 | 南 | 精装 | 有电梯,人和,125万
金科天元道一期二组团 , | 3室2厅 | 106平米 | 东南 | 毛坯 | 有电梯,大竹林,152万
翡翠明珠 , | 2室2厅 | 82.02平米 | 南 | 精装 | 有电梯,南坪,130万
公园大道菁澜一组团 , | 3室2厅 | 110.55平米 | 东南 | 毛坯 | 有电梯,中央公园,168万
金城国际 , | 3室2厅 | 85.24平米 | 南 | 精装 | 有电梯,松树桥,108万
富力城2P组团 , | 2室2厅 | 88.18平米 | 北 | 简装 | 有电梯,大学城,88万
汇祥好莱坞 , | 2室2厅 | 80.58平米 | 东南 | 精装 | 有电梯,空港新城,96万
北麓国际城 , | 2室2厅 | 66平米 | 东 | 精装,大学城,70万
富力城瀚湖A区 , | 2室2厅 | 88平米 | 南 | 精装 | 有电梯,大学城,95万
金源利青国青城 , | 1室1厅 | 51.25平米 | 东北 | 简装 | 有电梯,黄桷坪,60万
蓝光林肯公园 , | 4室2厅 | 119平米 | 西 | 毛坯 | 有电梯,八公里,132万
鲁能泰山7号十八街区 , | 3室2厅 | 85平米 | 南 | 毛坯 | 有电梯,中央公园,125万
世茂茂悦府三期 , | 3室2厅 | 137.96平米 | 西南 | 毛坯 | 有电梯,照母山,185万
北大资源博雅二期 , | 4室2厅 | 132.49平米 | 西南 | 毛坯 | 有电梯,照母山,260万
鲁能星城十三街区 , | 2室2厅 | 65平米 | 南 | 毛坯 | 有电梯,海尔路,70万
万达华城三期 , | 2室2厅 | 81平米 | 南 | 毛坯 | 有电梯,龙洲湾,90万
光亮天润城 , | 3室2厅 | 84.05平米 | 东 | 精装,歇马,93万
金科中央御院三期 , | 3室2厅 | 63平米 | 东南 | 精装 | 有电梯,茶园新区,90万
融创欧麓花园城剑桥郡一期 , | 3室2厅 | 88.31平米 | 北 | 毛坯 | 有电梯,茶园新区,95万
上海城 , | 1室0厅 | 45平米 | 南 | 简装 | 有电梯,南坪,76万
